,代码,名称,最新价,股数
235,000909,ST数源,3.24,0.0
236,688568,中科星图,49.65,3895.4999999999995
237,603890,春秋电子,9.82,2194.29
238,600306,退市商城,0.3,0.0
239,688062,迈威生物-U,33.02,12942.780000000012
240,688515,裕太微-U,68.24,215.85
241,600641,万业企业,13.29,5478.719999999999
242,300952,恒辉安防,18.44,241.06
243,600375,*ST汉马,4.54,0.0
244,002484,江海股份,14.53,3630.7800000000007
245,002273,水晶光电,16.73,26975.59999999999
246,688099,晶晨股份,62.45,9907.810000000001
247,300438,鹏辉能源,21.04,1027.8400000000001
248,301421,波长光电,51.56,295.0899999999999
249,833075,柏星龙,10.76,85.71
250,301038,深水规院,14.52,0.0
251,688123,聚辰股份,62.3,1320.0900000000001
252,600406,国电南瑞,24.69,27772.23
253,300623,捷捷微电,18.49,471.3
254,301087,可孚医疗,36.05,1294.3500000000001
255,301004,嘉益股份,88.9,967.0999999999998
256,603507,振江股份,32.22,2150.59
257,301297,富乐德,24.09,655.92
258,000802,北京文化,5.72,0.0
259,002426,胜利精密,1.59,0.0
260,300521,爱司凯,10.18,15.35
261,601179,中国西电,7.65,5227.64
262,002340,格林美,6.7,34714.73
263,000823,超声电子,8.62,26.69
264,603133,退市碳元,0.32,0.0
265,000863,三湘印象,3.84,13.19
266,603193,润本股份,18.93,715.4899999999996
267,688362,甬矽电子,21.5,670.96
268,300529,健帆生物,27.98,3760.4
269,688536,思瑞浦,108.56,1968.8899999999999
270,300020,*ST银江,1.94,323.47
271,301083,百胜智能,13.93,0.0
272,688366,昊海生科,94.3,81.13
273,600066,宇通客车,25.28,26784.94000000001
274,002138,顺络电子,27.66,10520.919999999998
275,603290,斯达半导,98.99,401.16
276,301363,美好医疗,27.75,1923.1099999999997
277,301121,紫建电子,39.76,8.4
278,002859,洁美科技,21.38,2131.1500000000005
279,300181,佐力药业,15.9,7284.210000000003
280,002371,北方华创,332.83,10733.309999999994
281,832978,开特股份,10.31,193.12
282,688063,派能科技,61.97,
283,002937,兴瑞科技,23.33,3315.98
284,002916,深南电路,110.49,3572.14
285,300100,双林股份,10.76,673.62
286,688778,厦钨新能,34.34,184.23
287,002252,上海莱士,7.76,44817.99
288,688059,华锐精密,51.83,207.68
289,688655,迅捷兴,10.17,0.0
290,301191,菲菱科思,76.02,231.29999999999998
291,301568,思泰克,32.64,0.04
292,000625,长安汽车,13.95,73638.09999999999
293,002635,安洁科技,15.66,2205.6899999999996
294,837092,汉鑫科技,20.45,0.0
295,300930,屹通新材,17.27,34.77
296,688456,有研粉材,26.99,15.72
297,301082,久盛电气,13.85,166.76
298,301359,东南电子,22.29,170.64999999999998
299,002331,皖通科技,6.62,316.89
300,002993,奥海科技,36.68,438.1900000000001
301,300666,江丰电子,51.42,2032.4499999999998
302,600766,退市园城,0.35,0.0
303,300713,英可瑞,13.3,0.0
304,002156,通富微电,23.9,32257.07
305,300073,当升科技,37.97,7692.0
306,688261,东微半导,54.91,444.09999999999997
307,002227,奥 特 迅,8.8,0.0
308,603337,杰克股份,27.83,7957.729999999999
309,688693,锴威特,34.25,10.67
310,688082,盛美上海,85.2,2726.9199999999996
311,873152,天宏锂电,7.11,0.0
312,301099,雅创电子,48.04,112.53
313,601777,力帆科技,2.85,0.0
314,688159,有方科技,37.08,128.10000000000002
315,301536,星宸科技,39.6,18.94
316,688052,纳芯微,104.65,971.1199999999995
317,002251,*ST步高,3.59,0.0
318,603279,景津装备,22.28,11434.579999999998
319,300177,中海达,5.75,407.77
320,300831,派瑞股份,12.6,16.08
321,688488,艾迪药业,12.97,4649.799999999998
322,688498,源杰科技,143.46,811.06
323,601126,四方股份,19.58,3812.5900000000006
324,603596,伯特利,38.82,6521.81
325,603026,石大胜华,37.44,196.03
326,600131,国网信通,20.04,7195.31
327,000428,华天酒店,2.93,507.17
328,300458,全志科技,21.31,964.14
329,002906,华阳集团,28.31,4846.119999999999
330,688347,华虹公司,38.0,7.0600000000000005
331,300889,爱克股份,10.35,458.0300000000001
332,688686,奥普特,76.12,280.92
333,688510,航亚科技,18.94,576.0200000000001
334,000400,许继电气,33.63,7330.689999999998
335,688385,复旦微电,34.05,3796.6800000000003
336,301106,骏成科技,32.63,0.0
337,603650,彤程新材,33.39,2279.41
338,833523,德瑞锂电,10.9,73.64
339,603583,捷昌驱动,19.56,177.46
340,301329,信音电子,19.94,0.76
341,688389,普门科技,18.15,3875.279999999999
342,000731,四川美丰,6.83,6.54
343,301091,深城交,26.22,395.93000000000006
344,600355,精伦电子,3.43,0.0
345,688307,中润光学,21.12,0.0
346,002472,双环传动,23.82,13281.789999999997
347,002185,华天科技,8.48,15346.16
348,300968,格林精密,9.27,0.0
349,301318,维海德,28.6,0.0
350,603328,依顿电子,7.73,1437.8700000000001
351,688373,盟科药业-U,4.26,1515.67
352,300661,圣邦股份,82.12,16266.769999999997
353,003019,宸展光电,27.51,609.5300000000001
354,300422,博世科,4.65,8.92
355,300327,中颖电子,21.72,491.93
356,000564,供销大集,1.94,0.0
357,688506,百利天恒-U,202.15,2993.3
358,002773,康弘药业,22.98,2608.0700000000006
359,300323,华灿光电,4.69,270.84
360,300507,苏奥传感,5.1,0.0
361,300699,光威复材,26.36,10584.770000000002
362,603863,松炀资源,19.71,550.9300000000001
363,301123,奕东电子,19.35,41.58
364,605507,国邦医药,17.39,3.16
365,002028,思源电气,72.84,17663.479999999985
366,300609,汇纳科技,18.69,0.0
367,002001,新 和 成,19.1,5085.2
368,300576,容大感光,40.23,0.0
369,300308,中际旭创,141.86,
370,000403,派林生物,28.78,14455.250000000004
371,688631,XD莱斯信,62.25,923.17
372,300406,九强生物,16.87,2136.6400000000003
373,688408,中信博,103.09,1759.2400000000002
374,601633,长城汽车,25.37,17346.56
375,688127,蓝特光学,18.53,614.4300000000001
376,688578,艾力斯,64.29,1475.9399999999998
377,688484,南芯科技,34.38,1567.95
378,300537,广信材料,18.69,0.0
379,301119,正强股份,19.14,0.0
380,002552,宝鼎科技,13.51,54.84
381,603297,永新光学,70.02,615.08
382,601966,玲珑轮胎,18.92,16795.78
383,600388,龙净环保,11.52,10351.9
384,300817,双飞集团,12.76,88.5
385,830779,武汉蓝电,22.35,0.0
386,301367,怡和嘉业,67.63,96.86
387,301151,冠龙节能,14.95,127.51
388,002487,大金重工,24.2,3925.349999999999
389,300790,宇瞳光学,13.81,0.0
390,300141,和顺电气,7.99,0.0
391,688001,华兴源创,23.16,81.69000000000001
392,300304,云意电气,6.74,3211.42
393,301366,一博科技,33.72,0.0
394,688303,大全能源,25.85,8501.95
395,688173,希荻微,11.45,0.0
396,688361,中科飞测,59.85,4641.800000000001
397,002851,麦格米特,28.48,5834.110000000001
398,688586,江航装备,9.79,249.31
399,301567,贝隆精密,43.42,66.55
400,688288,鸿泉物联,13.69,0.7
401,301512,智信精密,47.93,0.0
402,605177,东亚药业,23.56,0.0
403,872190,雷神科技,15.92,0.0
404,603556,海兴电力,48.72,2161.7999999999997
405,688409,富创精密,68.21,3135.1900000000005
406,688169,石头科技,411.42,3349.0800000000013
407,430489,佳先股份,6.96,0.0
408,300848,美瑞新材,17.08,25.9
409,688416,恒烁股份,42.17,138.7
410,001298,好上好,20.68,0.0
411,603160,汇顶科技,69.68,1514.87
412,300046,台基股份,20.0,0.0
413,300782,卓胜微,92.47,6595.490000000002
414,688331,荣昌生物,48.38,6787.300000000001
415,600353,旭光电子,6.76,2344.4700000000003
416,688378,奥来德,26.15,3140.0399999999995
417,688150,莱特光电,20.74,786.3999999999995
418,603324,盛剑环境,29.32,289.84
419,300045,华力创通,18.52,151.05
420,300227,光韵达,5.44,3.0
421,002270,华明装备,21.34,4904.700000000001
422,002913,奥士康,27.7,247.71999999999997
423,600233,圆通速递,15.94,19751.94
424,600765,中航重机,20.04,19320.15000000001
425,002569,ST步森,6.39,0.0
426,300241,瑞丰光电,4.12,8.54
427,688157,松井股份,33.97,712.9700000000001
428,300360,炬华科技,14.69,4187.629999999999
429,688352,颀中科技,11.97,1043.91
430,605378,野马电池,16.13,0.0
431,600114,东睦股份,14.76,7564.81
432,688981,中芯国际,47.52,61107.630000000005
433,300319,麦捷科技,8.32,753.5699999999999
434,600057,厦门象屿,7.88,4831.04
